"song","artist","year"
"I Get The Bag","Gucci Mane Featuring Migos",2017
"Small Town Boy","Dustin Lynch",2017
"Everyday We Lit","YFN Lucci Featuring PnB Rock",2017
"Havana","Camila Cabello Featuring Young Thug",2017
"What Lovers Do","Maroon 5 Featuring SZA",2017
"Do Re Mi","Blackbear",2017
"Look At Me!","XXXTENTACION",2017
"The Fighter","Keith Urban Featuring Carrie Underwood",2017
"Love Yourself","Justin Bieber",2016
"Sorry","Justin Bieber",2016
"One Dance","Drake Featuring WizKid & Kyla",2016
"Work","Rihanna Featuring Drake",2016
"Stressed Out","twenty one pilots",2016
"Panda","Desiigner",2016
"Hello","Adele",2016
"Don't Let Me Down","The Chainsmokers Featuring Daya",2016
"Can't Stop The Feeling!","Justin Timberlake",2016
"Closer","The Chainsmokers Featuring Halsey",2016
"Cheap Thrills","Sia Featuring Sean Paul",2016
"7 Years","Lukas Graham",2016
"Needed Me","Rihanna",2016
"My House","Flo Rida",2016
"I Took A Pill In Ibiza","Mike Posner",2016
"Work From Home","Fifth Harmony Featuring Ty Dolla $ign",2016
"This Is What You Came For","Calvin Harris Featuring Rihanna",2016
"Cake By The Ocean","DNCE",2016
"Me, Myself & I","G-Eazy x Bebe Rexha",2016
"Ride","twenty one pilots",2016
"Heathens","twenty one pilots",2016
"Pillowtalk","Zayn",2016
"Stitches","Shawn Mendes",2016
"Hotline Bling","Drake",2016
"Cold Water","Major Lazer Featuring Justin Bieber & MO",2016
"Send My Love (To Your New Lover)","Adele",2016
"Roses","The Chainsmokers Featuring Rozes",2016
"Treat You Better","Shawn Mendes",2016
"Too Good","Drake Featuring Rihanna",2016
"Low Life","Future Featuring The Weeknd",2016
"What Do You Mean?","Justin Bieber",2016
"The Hills","The Weeknd",2016
"Just Like Fire","P!nk",2016
"Broccoli","D.R.A.M. Featuring Lil Yachty",2016
"Don't","Bryson Tiller",2016
"Dangerous Woman","Ariana Grande",2016
"Jumpman","Drake & Future",2016
"I Hate U I Love U","gnash Featuring Olivia O'Brien",2016
"Here","Alessia Cara",2016
"Same Old Love","Selena Gomez",2016
"Controlla","Drake",2016
"Like I'm Gonna Lose You","Meghan Trainor Featuring John Legend",2016
"One Call Away","Charlie Puth",2016
"Let It Go","James Bay",2016
"No","Meghan Trainor",2016
"Never Forget You","Zara Larsson & MNEK",2016
"Let Me Love You","DJ Snake Featuring Justin Bieber",2016
"Don't Mind","Kent Jones",2016
"H.O.L.Y.","Florida Georgia Line",2016
"We Don't Talk Anymore","Charlie Puth Featuring Selena Gomez",2016
"Into You","Ariana Grande",2016
"Gold","Kiiara",2016
"Exchange","Bryson Tiller",2016
"679","Fetty Wap Featuring Remy Boyz",2016
"Oui","Jeremih",2016
"Hands To Myself","Selena Gomez",2016
"2 Phones","Kevin Gates",2016
"Starboy","The Weeknd Featuring Daft Punk",2016
"For Free","DJ Khaled Featuring Drake",2016
"Never Be Like You","Flume Featuring Kai",2016
"In The Night","The Weeknd",2016
"Me Too","Meghan Trainor",2016
"Ex's & Oh's","Elle King",2016
"Die A Happy Man","Thomas Rhett",2016
"White Iverson","Post Malone",2016
"Close","Nick Jonas Featuring Tove Lo",2016
"Unsteady","X Ambassadors",2016
"Sucker For Pain","Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",2016
"Down In The DM","Yo Gotti Featuring Nicki Minaj",2016
"Luv","Tory Lanez",2016
"Sorry","Beyonce",2016
"Can't Feel My Face","The Weeknd",2016
"Hymn For The Weekend","Coldplay",2016
"Say It","Tory Lanez",2016
"Antidote","Travis Scott",2016
"Lost Boy","Ruth B",2016
"Side To Side","Ariana Grande Featuring Nicki Minaj",2016
"Sit Still, Look Pretty","Daya",2016
"Wildest Dreams","Taylor Swift",2016
"Middle","DJ Snake Featuring Bipolar Sunshine",2016
"On My Mind","Ellie Goulding",2016
"Pop Style","Drake Featuring The Throne",2016
"When We Were Young","Adele",2016
"Hide Away","Daya",2016
"Lean On","Major Lazer & DJ Snake Featuring MO",2016
"I Know What You Did Last Summer","Shawn Mendes & Camila Cabello",2016
"Watch Me","Silento",2016
"Back To Sleep","Chris Brown",2016
"No Limit","Usher Featuring Young Thug",2016
"Cut It","O.T. Genasis Featuring Young Dolph",2016
"Really Really","Kevin Gates",2016
"All In My Head (Flex)","Fifth Harmony Featuring Fetty Wap",2016
"Starving","Hailee Steinfeld & Grey Featuring Zedd",2016
"Adventure Of A Lifetime","Coldplay",2016
"Humble And Kind","Tim McGraw",2016
"Wicked","Future",2016
"Tiimmy Turner","Desiigner",2016
"See You Again","Wiz Khalifa Featuring Charlie Puth",2016
"Perfect","One Direction",2016
"Uptown Funk!","Mark Ronson Featuring Bruno Mars",2015
"Thinking Out Loud","Ed Sheeran",2015
"See You Again","Wiz Khalifa Featuring Charlie Puth",2015
"Trap Queen","Fetty Wap",2015
"Sugar","Maroon 5",2015
"Shut Up And Dance","WALK THE MOON",2015
"Blank Space","Taylor Swift",2015
"Watch Me","Silento",2015
"Earned It (Fifty Shades Of Grey)","The Weeknd",2015
"The Hills","The Weeknd",2015
"Cheerleader","OMI",2015
"Can't Feel My Face","The Weeknd",2015
"Love Me Like You Do","Ellie Goulding",2015
"Take Me To Church","Hozier",2015
"Bad Blood","Taylor Swift Featuring Kendrick Lamar",2015
"Lean On","Major Lazer & DJ Snake Featuring MO",2015
"Want To Want Me","Jason Derulo",2015
"Shake It Off","Taylor Swift",2015
"Where Are U Now","Skrillex & Diplo With Justin Bieber",2015
"Fight Song","Rachel Platten",2015
"679","Fetty Wap Featuring Remy Boyz",2015
"Lips Are Movin","Meghan Trainor",2015
"Worth It","Fifth Harmony Featuring Kid Ink",2015
"Post To Be","Omarion Featuring Chris Brown & Jhene Aiko",2015
"Honey, I'm Good.","Andy Grammer",2015
"I'm Not The Only One","Sam Smith",2015
"Good For You","Selena Gomez Featuring A$AP Rocky",2015
"All About That Bass","Meghan Trainor",2015
"Style","Taylor Swift",2015
"Hotline Bling","Drake",2015
"Hey Mama","David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",2015
"G.D.F.R.","Flo Rida Featuring Sage The Gemini & Lookas",2015
"What Do You Mean?","Justin Bieber",2015
"Photograph","Ed Sheeran",2015
"Hello","Adele",2015
"Stitches","Shawn Mendes",2015
"Talking Body","Tove Lo",2015
"Jealous","Nick Jonas",2015
"Time Of Our Lives","Pitbull & Ne-Yo",2015
"Locked Away","R. City Featuring Adam Levine",2015
"Somebody","Natalie La Rose Featuring Jeremih",2015
"FourFiveSeconds","Rihanna & Kanye West & Paul McCartney",2015
"Centuries","Fall Out Boy",2015
"My Way","Fetty Wap Featuring Monty",2015
"Take Your Time","Sam Hunt",2015
"Animals","Maroon 5",2015
"I Don't F**k With You","Big Sean Featuring E-40",2015
"B**** Better Have My Money","Rihanna",2015
"Flex (Ooh Ooh Ooh)","Rich Homie Quan",2015
"Nasty Freestyle","T-Wayne",2015
"Only","Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015
"Elastic Heart","Sia",2015
"Cool For The Summer","Demi Lovato",2015
"Renegades","X Ambassadors",2015
"I Don't Mind","Usher Featuring Juicy J",2015
"Love Me Harder","Ariana Grande & The Weeknd",2015
"Wildest Dreams","Taylor Swift",2015
"Stay With Me","Sam Smith",2015
"You Know You Like It","DJ Snake & AlunaGeorge",2015
"Uma Thurman","Fall Out Boy",2015
"7/11","Beyonce",2015
"The Heart Wants What It Wants","Selena Gomez",2015
"Girl Crush","Little Big Town",2015
"Slow Motion","Trey Songz",2015
"Drag Me Down","One Direction",2015
"Truffle Butter","Nicki Minaj Featuring Drake & Lil Wayne",2015
"One Last Time","Ariana Grande",2015
"Chains","Nick Jonas",2015
"All Eyes On You","Meek Mill Featuring Chris Brown & Nicki Minaj",2015
"No Type","Rae Sremmurd",2015
"Riptide","Vance Joy",2015
"Classic Man","Jidenna Featuring Roman GianArthur",2015
"Ex's & Oh's","Elle King",2015
"Dear Future Husband","Meghan Trainor",2015
"Marvin Gaye","Charlie Puth Featuring Meghan Trainor",2015
"Like I'm Gonna Lose You","Meghan Trainor Featuring John Legend",2015
"Habits (Stay High)","Tove Lo",2015
"The Hanging Tree","James Newton Howard Featuring Jennifer Lawrence",2015
"CoCo","O.T. Genasis",2015
"Bang Bang","Jessie J, Ariana Grande & Nicki Minaj",2015
"Lay Me Down","Sam Smith",2015
"Tuesday","I LOVE MAKONNEN Featuring Drake",2015
"Hit The Quan","iLoveMemphis",2015
"Downtown","Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",2015
"House Party","Sam Hunt",2015
"Ayo","Chris Brown & Tyga",2015
"Kick The Dust Up","Luke Bryan",2015
"Blessings","Big Sean Featuring Drake",2015
"Budapest","George Ezra",2015
"Chandelier","Sia",2015
"Heartbeat Song","Kelly Clarkson",2015
"Don't","Ed Sheeran",2015
"Ghost","Ella Henderson",2015
"Here","Alessia Cara",2015
"Waves","Mr. Probz",2015
"El Perdon (Forgiveness)","Nicky Jam & Enrique Iglesias",2015
"She Knows","Ne-Yo Featuring Juicy J",2015
"Night Changes","One Direction",2015
"Back To Back","Drake",2015
"How Deep Is Your Love","Calvin Harris & Disciples",2015
"Happy","Pharrell Williams",2014
"Dark Horse","Katy Perry Featuring Juicy J",2014
"All Of Me","John Legend",2014
"Fancy","Iggy Azalea Featuring Charli XCX",2014
"Counting Stars","OneRepublic",2014
"Talk Dirty","Jason Derulo Featuring 2 Chainz",2014
"Rude","MAGIC!",2014
"All About That Bass","Meghan Trainor",2014
"Problem","Ariana Grande Featuring Iggy Azalea",2014
"Stay With Me","Sam Smith",2014
"Timber","Pitbull Featuring Ke$ha",2014
"Pompeii","Bastille",2014
"Shake It Off","Taylor Swift",2014
"Am I Wrong","Nico & Vinz",2014
"Turn Down For What","DJ Snake & Lil Jon",2014
"The Monster","Eminem Featuring Rihanna",2014
"Say Something","A Great Big World & Christina Aguilera",2014
"Team","Lorde",2014
"Let Her Go","Passenger",2014
"Royals","Lorde",2014
"Let It Go","Idina Menzel",2014
"Wake Me Up!","Avicii",2014
"Demons","Imagine Dragons",2014
"Story Of My Life","One Direction",2014
"Chandelier","Sia",2014
"Black Widow","Iggy Azalea Featuring Rita Ora",2014
"Bang Bang","Jessie J, Ariana Grande & Nicki Minaj",2014
"Latch","Disclosure Featuring Sam Smith",2014
"Maps","Maroon 5",2014
"Loyal","Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga",2014
"Best Day Of My Life","American Authors",2014
"Habits (Stay High)","Tove Lo",2014
"Summer","Calvin Harris",2014
"Boom Clap","Charli XCX",2014
"Drunk In Love","Beyonce Featuring Jay Z",2014
"Anaconda","Nicki Minaj",2014
"Break Free","Ariana Grande Featuring Zedd",2014
"Bailando","Enrique Iglesias Featuring Descemer Bueno & Gente de Zona",2014
"Burn","Ellie Goulding",2014
"Wiggle","Jason Derulo Featuring Snoop Dogg",2014
"Rather Be","Clean Bandit Featuring Jess Glynne",2014
"Don't Tell 'Em","Jeremih Featuring YG",2014
"Show Me","Kid Ink Featuring Chris Brown",2014
"Wrecking Ball","Miley Cyrus",2014
"Not A Bad Thing","Justin Timberlake",2014
"Roar","Katy Perry",2014
"Ain't It Fun","Paramore",2014
"The Man","Aloe Blacc",2014
"This Is How We Roll","Florida Georgia Line Featuring Luke Bryan",2014
"Classic","MKTO",2014
"A Sky Full Of Stars","Coldplay",2014
"Don't","Ed Sheeran",2014
"Na Na","Trey Songz",2014
"Hot Boy","Bobby Shmurda",2014
"Hold On, We're Going Home","Drake Featuring Majid Jordan",2014
"Sing","Ed Sheeran",2014
"Radioactive","Imagine Dragons",2014
"My Hitta","YG Featuring Jeezy & Rich Homie Quan",2014
"Cool Kids","Echosmith",2014
"Hey Brother","Avicii",2014
"Trumpets","Jason Derulo",2014
"Animals","Maroon 5",2014
"Burnin' It Down","Jason Aldean",2014
"Play It Again","Luke Bryan",2014
"2 On","Tinashe Featuring ScHoolboy Q",2014
"Dirt","Florida Georgia Line",2014
"Love Runs Out","OneRepublic",2014
"Bottoms Up","Brantley Gilbert",2014
"Shower","Becky G",2014
"Me And My Broken Heart","Rixton",2014
"Animals","Martin Garrix",2014
"Lifestyle","Rich Gang Featuring Young Thug & Rich Homie Quan",2014
"American Kids","Kenny Chesney",2014
"Brave","Sara Bareilles",2014
"Sweater Weather","The Neighbourhood",2014
"Leave The Night On","Sam Hunt",2014
"New Flame","Chris Brown Featuring Usher & Rick Ross",2014
"Love Never Felt So Good","Michael Jackson & Justin Timberlake",2014
"Drunk On A Plane","Dierks Bentley",2014
"Birthday","Katy Perry",2014
"Bartender","Lady Antebellum",2014
"La La La","Naughty Boy Featuring Sam Smith",2014
"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",2014
"Do What U Want","Lady Gaga Featuring R. Kelly",2014
"Can't Remember To Forget You","Shakira Featuring Rihanna",2014
"Amnesia","5 Seconds Of Summer",2014
"No Mediocre","T.I. Featuring Iggy Azalea",2014
"Come With Me Now","KONGOS",2014
"Believe Me","Lil Wayne Featuring Drake",2014
"23","Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2014
"Beachin'","Jake Owen",2014
"White Walls","Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis",2014
"She Looks So Perfect","5 Seconds Of Summer",2014
"Stay The Night","Zedd Featuring Hayley Williams",2014
"Partition","Beyonce",2014
"Studio","ScHoolboy Q Featuring BJ The Chicago Kid",2014
"0 To 100 / The Catch Up","Drake",2014
"I Don't Dance","Lee Brice",2014
"Somethin' Bad","Miranda Lambert Duet With Carrie Underwood",2014
"Adore You","Miley Cyrus",2014
"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz",2013
"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",2013
"Radioactive","Imagine Dragons",2013
"Harlem Shake","Baauer",2013
"Can't Hold Us","Macklemore & Ryan Lewis Featuring Ray Dalton",2013
"Mirrors","Justin Timberlake",2013
"Just Give Me A Reason","P!nk Featuring Nate Ruess",2013
"When I Was Your Man","Bruno Mars",2013
"Cruise","Florida Georgia Line Featuring Nelly",2013
"Roar","Katy Perry",2013
"Locked Out Of Heaven","Bruno Mars",2013
"Ho Hey","The Lumineers",2013
"Stay","Rihanna Featuring Mikky Ekko",2013
"Get Lucky","Daft Punk Featuring Pharrell Williams",2013
"Royals","Lorde",2013
"I Knew You Were Trouble.","Taylor Swift",2013
"We Can't Stop","Miley Cyrus",2013
"Wrecking Ball","Miley Cyrus",2013
"Wake Me Up!","Avicii",2013
"Suit & Tie","Justin Timberlake Featuring JAY Z",2013
"Cups (Pitch Perfect's When I'm Gone)","Anna Kendrick",2013
"Holy Grail","Jay Z Featuring Justin Timberlake",2013
"Scream & Shout","will.i.am & Britney Spears",2013
"Clarity","Zedd Featuring Foxes",2013
"Sail","AWOLNATION",2013
"Don't You Worry Child","Swedish House Mafia Featuring John Martin",2013
"Diamonds","Rihanna",2013
"I Love It","Icona Pop Featuring Charli XCX",2013
"Safe And Sound","Capital Cities",2013
"Treasure","Bruno Mars",2013
"The Way","Ariana Grande Featuring Mac Miller",2013
"Started From The Bottom","Drake",2013
"Come & Get It","Selena Gomez",2013
"Hold On, We're Going Home","Drake Featuring Majid Jordan",2013
"Daylight","Maroon 5",2013
"Feel This Moment","Pitbull Featuring Christina Aguilera",2013
"Applause","Lady Gaga",2013
"One More Night","Maroon 5",2013
"Love Me","Lil Wayne Featuring Drake & Future",2013
"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy",2013
"F**kin Problems","A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2013
"Beauty And A Beat","Justin Bieber Featuring Nicki Minaj",2013
"Same Love","Macklemore & Ryan Lewis Featuring Mary Lambert",2013
"Sweet Nothing","Calvin Harris Featuring Florence Welch",2013
"Summertime Sadness","Lana Del Rey & Cedric Gervais",2013
"Home","Phillip Phillips",2013
"It's Time","Imagine Dragons",2013
"Power Trip","J. Cole Featuring Miguel",2013
"Girl On Fire","Alicia Keys Featuring Nicki Minaj",2013
"Heart Attack","Demi Lovato",2013
"Love Somebody","Maroon 5",2013
"I Will Wait","Mumford & Sons",2013
"Try","P!nk",2013
"Wagon Wheel","Darius Rucker",2013
"Gangnam Style","PSY",2013
"I Need Your Love","Calvin Harris Featuring Ellie Goulding",2013
"Die Young","Ke$ha",2013
"Some Nights","fun.",2013
"Bad","Wale Featuring Tiara Thomas Or Rihanna",2013
"Boys 'round Here","Blake Shelton Featuring Pistol Annies & Friends",2013
"Gone, Gone, Gone","Phillip Phillips",2013
"Demons","Imagine Dragons",2013
"Counting Stars","OneRepublic",2013
"I Cry","Flo Rida",2013
"Little Talks","Of Monsters And Men",2013
"The Other Side","Jason Derulo",2013
"Berzerk","Eminem",2013
"Catch My Breath","Kelly Clarkson",2013
"Crash My Party","Luke Bryan",2013
"Pour It Up","Rihanna",2013
"22","Taylor Swift",2013
"I Want Crazy","Hunter Hayes",2013
"The Fox","Ylvis",2013
"Best Song Ever","One Direction",2013
"The A Team","Ed Sheeran",2013
"Carry On","fun.",2013
"Highway Don't Care","Tim McGraw With Taylor Swift",2013
"That's My Kind Of Night","Luke Bryan",2013
"Swimming Pools (Drank)","Kendrick Lamar",2013
"Sure Be Cool If You Did","Blake Shelton",2013
"#Beautiful","Mariah Carey Featuring Miguel",2013
"Troublemaker","Olly Murs Featuring Flo Rida",2013
"Body Party","Ciara",2013
"Adorn","Miguel",2013
"Hall Of Fame","The Script Featuring will.i.am",2013
"Let Me Love You (Until You Learn To Love Yourself)","Ne-Yo",2013
"U.O.E.N.O.","Rocko Featuring Future & Rick Ross",2013
"Next To Me","Emeli Sande",2013
"Mama's Broken Heart","Miranda Lambert",2013
"It Goes Like This","Thomas Rhett",2013
"Bugatti","Ace Hood Featuring Future & Rick Ross",2013
"Wanted","Hunter Hayes",2013
"Downtown","Lady Antebellum",2013
"Get Your Shine On","Florida Georgia Line",2013
"#thatPOWER","will.i.am Featuring Justin Bieber",2013
"Brave","Sara Bareilles",2013
"Let Her Go","Passenger",2013
"Runnin' Outta Moonlight","Randy Houser",2013
"I'm Different","2 Chainz",2013
"Still Into You","Paramore",2013
"Somebody That I Used To Know","Gotye Featuring Kimbra",2012
"Call Me Maybe","Carly Rae Jepsen",2012
"We Are Young","fun. Featuring Janelle Monae",2012
"Payphone","Maroon 5 Featuring Wiz Khalifa",2012
"Lights","Ellie Goulding",2012
"Glad You Came","The Wanted",2012
"Stronger (What Doesn't Kill You)","Kelly Clarkson",2012
"We Found Love","Rihanna Featuring Calvin Harris",2012
"Starships","Nicki Minaj",2012
"What Makes You Beautiful","One Direction",2012
"Wild Ones","Flo Rida Featuring Sia",2012
"Set Fire To The Rain","Adele",2012
"Sexy And I Know It","LMFAO",2012
"Some Nights","fun.",2012
"Wide Awake","Katy Perry",2012
"Good Feeling","Flo Rida",2012
"Whistle","Flo Rida",2012
"One More Night","Maroon 5",2012
"Drive By","Train",2012
"The Motto","Drake Featuring Lil Wayne",2012
"Where Have You Been","Rihanna",2012
"Everybody Talks","Neon Trees",2012
"Take Care","Drake Featuring Rihanna",2012
"Titanium","David Guetta Featuring Sia",2012
"I Won't Give Up","Jason Mraz",2012
"It Will Rain","Bruno Mars",2012
"Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz",2012
"Boyfriend","Justin Bieber",2012
"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",2012
"Too Close","Alex Clare",2012
"Part Of Me","Katy Perry",2012
"Young, Wild & Free","Snoop Dogg & Wiz Khalifa Featuring Bruno Mars",2012
"We Are Never Ever Getting Back Together","Taylor Swift",2012
"As Long As You Love Me","Justin Bieber Featuring Big Sean",2012
"Turn Me On","David Guetta Featuring Nicki Minaj",2012
"Moves Like Jagger","Maroon 5 Featuring Christina Aguilera",2012
"Blow Me (One Last Kiss)","P!nk",2012
"Good Time","Owl City & Carly Rae Jepsen",2012
"Give Your Heart A Break","Demi Lovato",2012
"Ni**as in Paris","Jay Z Kanye West",2012
"The One That Got Away","Katy Perry",2012
"Feel So Close","Calvin Harris",2012
"Someone Like You","Adele",2012
"Scream","Usher",2012
"Rack City","Tyga",2012
"Domino","Jessie J",2012
"Gangnam Style","PSY",2012
"International Love","Pitbull Featuring Chris Brown",2012
"Home","Phillip Phillips",2012
"Without You","David Guetta Featuring Usher",2012
"Ass Back Home","Gym Class Heroes Featuring Neon Hitch",2012
"Wanted","Hunter Hayes",2012
"Drunk On You","Luke Bryan",2012
"No Lie","2 Chainz Featuring Drake",2012
"Want U Back","Cher Lloyd",2012
"Don't Wake Me Up","Chris Brown",2012
"Dance (A$$)","Big Sean Featuring Nicki Minaj",2012
"Springsteen","Eric Church",2012
"Brokenhearted","Karmin",2012
"Not Over You","Gavin DeGraw",2012
"Stereo Hearts","Gym Class Heroes Featuring Adam Levine",2012
"Back In Time","Pitbull",2012
"Work Out","J. Cole",2012
"Rumour Has It","Adele",2012
"Let's Go","Calvin Harris Featuring Ne-Yo",2012
"Good Girl","Carrie Underwood",2012
"Pontoon","Little Big Town",2012
"Ho Hey","The Lumineers",2012
"Paradise","Coldplay",2012
"Blown Away","Carrie Underwood",2012
"Rolling In The Deep","Adele",2012
"Climax","Usher",2012
"Work Hard, Play Hard","Wiz Khalifa",2012
"Let Me Love You (Until You Learn To Love Yourself)","Ne-Yo",2012
"Pound The Alarm","Nicki Minaj",2012
"Come Over","Kenny Chesney",2012
"Heart Attack","Trey Songz",2012
"Drank In My Cup","Kirko Bangz",2012
"Birthday Cake","Rihanna Featuring Chris Brown",2012
"So Good","B.o.B",2012
"50 Ways To Say Goodbye","Train",2012
"Red Solo Cup","Toby Keith",2012
"Love You Like A Love Song","Selena Gomez & The Scene",2012
"Turn Up The Music","Chris Brown",2012
"Die Young","Ke$ha",2012
"5 O'Clock","T-Pain Featuring Wiz Khalifa & Lily Allen",2012
"A Thousand Years","Christina Perri",2012
"Take A Little Ride","Jason Aldean",2012
"You Da One","Rihanna",2012
"We Run The Night","Havana Brown Featuring Pitbull",2012
"It's Time","Imagine Dragons",2012
"Cashin' Out","Ca$h Out",2012
"I Don't Want This Night To End","Luke Bryan",2012
"Diamonds","Rihanna",2012
"Hard To Love","Lee Brice",2012
"Somethin' 'Bout A Truck","Kip Moore",2012
"Adorn","Miguel",2012
"Fly Over States","Jason Aldean",2012
"Even If It Breaks Your Heart","Eli Young Band",2012
"Burn It Down","Linkin Park",2012
"Rolling In The Deep","Adele",2011
"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",2011
"Firework","Katy Perry",2011
"E.T.","Katy Perry Featuring Kanye West",2011
"Give Me Everything","Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011
"Grenade","Bruno Mars",2011
"Super Bass","Nicki Minaj",2011
"Moves Like Jagger","Maroon 5 Featuring Christina Aguilera",2011
"Just Can't Get Enough","The Black Eyed Peas",2011
"On The Floor","Jennifer Lopez Featuring Pitbull",2011
"S&M","Rihanna",2011
"Pumped Up Kicks","Foster The People",2011
"Last Friday Night (T.G.I.F.)","Katy Perry",2011
"Just The Way You Are","Bruno Mars",2011
"Tonight (I'm Lovin' You)","Enrique Iglesias Featuring Ludacris & DJ Frank E",2011
"Raise Your Glass","P!nk",2011
